ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
-0.8116088,-1.0953712,0.187743,1.6743467,2.0241208,-0.2672607,-0.8701371,-0.25630507,-2.4109468,-1.7841634,-1.9832796,-1.8391474,4
-0.8110095,-1.0954101,0.18928258,1.6731923,2.0241132,-0.2666413,-0.87045914,-0.25708225,-2.4089634,-1.7826465,-1.9788907,-1.8356584,4
-0.81416833,-1.0953828,0.18858197,1.67282,2.0241163,-0.26736593,-0.8706975,-0.2567526,-2.4045405,-1.7818182,-1.9648186,-1.8297108,4
-0.8344349,-1.0953606,0.18845232,1.6726161,2.0241158,-0.26765576,-0.870819,-0.25665697,-2.402002,-1.7807724,-1.9509825,-1.8248107,4
-0.8582076,-1.0953997,0.18974946,1.6716201,2.0241187,-0.2671523,-0.87128407,-0.25696853,-2.4016068,-1.7798802,-1.9414266,-1.8216624,4
-0.87366027,-1.0953877,0.18916266,1.6702307,2.0241177,-0.26649794,-0.8718005,-0.25702295,-2.3990822,-1.7794976,-1.9321096,-1.8192079,4
-0.88298404,-1.0951921,0.1886055,1.6700057,2.024119,-0.2665681,-0.87098193,-0.2570259,-2.3914444,-1.7785379,-1.9249396,-1.8143026,4
-0.89157206,-1.0951391,0.18782915,1.6702353,2.0241165,-0.26530924,-0.87069786,-0.25695512,-2.390207,-1.7775186,-1.9185991,-1.8082153,4
-0.8941376,-1.0951766,0.18682441,1.6729157,2.0241187,-0.2651248,-0.8693,-0.25654927,-2.3859065,-1.7772099,-1.9129553,-1.8028867,4
-0.90783876,-1.095127,0.18836418,1.6716665,2.024115,-0.2664339,-0.86977506,-0.25688282,-2.3819094,-1.7758332,-1.9080266,-1.798026,4
-0.9219956,-1.0950764,0.18762708,1.672691,2.0241175,-0.2653656,-0.8688501,-0.25663394,-2.3826365,-1.7739075,-1.9034805,-1.7928045,4
-0.93059367,-1.0950093,0.18766843,1.6720922,2.0241165,-0.2656056,-0.8681543,-0.25658834,-2.3811812,-1.7725536,-1.8973227,-1.7893784,4
-0.94101554,-1.0950446,0.1877653,1.6708854,2.0241165,-0.26703334,-0.86895514,-0.25672686,-2.3822205,-1.7709818,-1.8900472,-1.7869321,4
-0.9493807,-1.0951518,0.18960555,1.6696188,2.0241191,-0.2674325,-0.8697071,-0.25706482,-2.376834,-1.7695413,-1.8836186,-1.7827585,4
-0.95756423,-1.0952408,0.19011818,1.6707782,2.0241182,-0.26638678,-0.8689397,-0.2570881,-2.3738983,-1.7686106,-1.8787848,-1.776664,4
-0.96312803,-1.095326,0.18928365,1.6726639,2.0241132,-0.2650174,-0.86769027,-0.25681552,-2.3709548,-1.767882,-1.8752218,-1.7699904,4
-0.9673146,-1.0953348,0.18946229,1.6680831,2.0241206,-0.26579404,-0.86883086,-0.2572891,-2.3671637,-1.7669275,-1.8722042,-1.7643323,4
-0.9697477,-1.0953262,0.18979667,1.6714342,2.0241177,-0.2651733,-0.86729354,-0.25693047,-2.3613374,-1.7655927,-1.8676033,-1.761675,4
-0.9597223,-1.0951817,0.19008413,1.6711445,2.024118,-0.266237,-0.8674162,-0.25708476,-2.3584929,-1.7644432,-1.8610771,-1.7616515,4
-0.94923717,-1.0949934,0.18999517,1.6716679,2.0241148,-0.2648696,-0.8670369,-0.2568363,-2.3588014,-1.7638308,-1.8546064,-1.7612544,4
