Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Senden Bana Kalan,Abdullah Oguz,6.6,1922,"
Drama, Romance            ",(2015)
Abimm,Safak Bal,5.9,1904,"
Comedy, Drama            ",(2009)
Vezir Parmagi,Mahsun Kirmizigül,4.0,1898,"
Comedy, Drama, History            ",(2017)
Dolap Beygiri,Atif Yilmaz,7.3,1893,"
Comedy, Drama            ",(1982)
God's Faithful Servant: Barla,Orhan Öztürk Esin,5.7,1891,"
Animation, Biography, Drama            ",(2011)
Café Transit,Kambuzia Partovi,7.4,1887,"
Drama, Romance            ",(2005)
Ögretmen,Kartal Tibet,7.2,1886,"
Comedy, Drama            ",(1988)
Esrefpasalilar,Hüdaverdi Yavuz,5.0,1875,"
Comedy, Drama            ",(2010)
Gori vatra,Pjer Zalica,7.3,1867,"
Comedy, Drama            ",(2003)
Kurtulus Son Durak,Yusuf Pirhasan,6.2,1864,"
Comedy, Drama            ",(2012)
Mercedes mon amour,Tunç Okan,7.8,1857,"
Action, Comedy, Drama            ",(1993)
Karanliktakiler,Çagan Irmak,7.0,1850,"
Drama, Thriller            ",(2009)
Sivas,Kaan Müjdeci,7.5,1837,"
Drama            ",(2014)
Yoksul,Zeki Ökten,7.3,1830,"
Comedy, Drama            ",(1986)
Pars: Kiraz operasyonu,Osman Sinav,6.0,1829,"
Action, Crime, Drama            ",(2007)
Devlet Kusu,Memduh Ün,7.0,1824,"
Comedy, Drama            ",(1980)
Bornova Bornova,Inan Temelkuran,7.0,1773,"
Drama            ",(2009)
Reise der Hoffnung,Xavier Koller,7.5,1731,"
Drama            ",(1990)
Jîn,Reha Erdem,7.2,1729,"
Drama            ",(2013)
8 Seconds,Ömer Faruk Sorak,6.5,1694,"
Biography, Drama, Fantasy            ",(2015)
Turist Ömer,Hulki Saner,7.6,1664,"
Comedy, Drama            ",(1964)
Aci Ask,A. Taner Elhan,5.4,1653,"
Drama, Romance            ",(2009)
Mommo,Atalay Tasdiken,7.7,1632,"
Drama, Family            ",(2009)
40,Emre Sahin,6.7,1617,"
Drama            ",(2009)
Deli Deli Olma,Murat Saraçoglu,7.4,1579,"
Drama, History            ",(2009)
Eve Dönüs,Ömer Ugur,6.8,1578,"
Drama            ",(2006)
Çanakkale 1915,Yesim Sezgin,6.4,1574,"
Drama, History            ",(2012)
Otobüs,Tunç Okan,7.6,1571,"
Comedy, Crime, Drama            ",(1975)
Daha,Onur Saylak,7.1,1563,"
Crime, Drama            ",(2017)
Gözetleme Kulesi,Pelin Esmer,7.1,1535,"
Drama            ",(2012)
Tereddüt,Yesim Ustaoglu,6.5,1491,"
Drama            ",(2016)
Tatar Ramazan Sürgünde,Melih Gülgen,8.1,1474,"
Drama            ",(1992)
Ah Güzel Istanbul,Atif Yilmaz,8.1,1469,"
Comedy, Drama            ",(1966)
Iki Genç Kiz,Kutlug Ataman,5.5,1461,"
Drama            ",(2005)
11'e 10 kala,Pelin Esmer,7.2,1457,"
Drama            ",(2009)
Güle Güle,Zeki Ökten,6.8,1457,"
Comedy, Drama, Romance            ",(2000)
Piano Piano Bacaksiz,Tunç Basaran,7.8,1457,"
Comedy, Drama, Family            ",(1991)
9,Ümit Ünal,7.7,1447,"
Crime, Mystery, Drama            ",(2002)
Gecenin Kanatlari,Serdar Akar,4.8,1441,"
Drama, Romance, Thriller            ",(2009)
Büyük adam küçük ask,Handan Ipekçi,7.6,1430,"
Drama            ",(2001)
Bulanti,Zeki Demirkubuz,6.3,1428,"
Drama            ",(2015)
Araf,Yesim Ustaoglu,6.2,1402,"
Drama            ",(2012)
Ask Kirmizi,Osman Sinav,5.1,1384,"
Action, Drama, Romance            ",(2013)
Cenneti Beklerken,Dervis Zaim,6.7,1381,"
Drama, History            ",(2006)
Yasamak Güzel Sey,Müfit Can Saçinti,7.5,1363,"
Comedy, Drama            ",(2017)
Kafes,Mahmut Kaptan,7.5,1334,"
Drama            ",(2015)
Game Over,Ashwin Saravanan,7.8,1311,"
Drama, Thriller            ",(I) (2019)
Mavi Gözlü Dev,Biket Ilhan,6.7,1308,"
Biography, Drama            ",(2007)
Broken Angel,Aclan Bates,6.7,1306,"
Drama            ",(2008)
Karisik Kaset,Tunç Sahin,5.8,1300,"
Comedy, Drama, Music            ",(2014)
Günese Yolculuk,Yesim Ustaoglu,7.0,1288,"
Drama            ",(1999)
Devrimden sonra,Mustafa Kenan Aybasti,5.6,1281,"
Drama            ",(2011)
Baska Semtin Çocuklari,Aydin Bulut,6.7,1249,"
Action, Crime, Drama            ",(2008)
Bayrampasa: Ben fazla kalmayacagim,Hamdi Alkan,6.0,1242,"
Comedy, Drama            ",(2007)
Romantik,Sinan Çetin,4.4,1233,"
Drama, Romance            ",(2007)
Dersimiz: Atatürk,Hamdi Alkan,6.2,1232,"
Biography, Drama, History            ",(2010)
Kalandar Sogugu,Mustafa Kara,7.8,1229,"
Drama            ",(2015)
Her Sey Asktan,Andaç Haznedaroglu,5.5,1217,"
Drama, Romance            ",(2016)
Ilk Ask,Nihat Durak,6.8,1207,"
Comedy, Drama            ",(2006)
Kor,Zeki Demirkubuz,6.4,1197,"
Drama            ",(2016)
Adem'in Trenleri,Baris Pirhasan,6.6,1180,"
Drama            ",(2007)
Battal Gazi'nin Oglu,Natuk Baytan,6.0,1177,"
Action, Drama, History            ",(1974)
Roza of Smyrna,Kordellas George,6.7,1176,"
Drama, Romance            ",(2016)
Kaybedenler Kulübü Yolda,Mehmet Ada Öztekin,6.0,1167,"
Drama            ",(2018)
Arkadas,Yilmaz Güney,7.2,1142,"
Drama            ",(1974)
Salkim Hanim'in Taneleri,Tomris Giritlioglu,6.5,1130,"
Drama, History            ",(1999)
Cennet,Biray Dalkiran,5.4,1125,"
Drama            ",(2008)
Berlin in Berlin,Sinan Çetin,5.6,1124,"
Drama            ",(1993)
Keloglan ile Cankiz,Metin Erksan,6.1,1122,"
Comedy, Drama, Romance            ",(1972)
Gölgesizler,Ümit Ünal,6.6,1117,"
Drama, Fantasy, Mystery            ",(2009)
Nar,Ümit Ünal,6.5,1110,"
Drama            ",(2011)
Kirimli,Burak Arliel,7.4,1090,"
Action, Drama, History            ",(2014)
Gelin,Lütfi Akad,7.8,1090,"
Drama            ",(1973)
Cinar Agaci,Handan Ipekçi,6.2,1086,"
Comedy, Drama, Romance            ",(2011)
Sis ve Gece,Turgut Yasalar,6.8,1081,"
Adventure, Drama, Mystery            ",(2007)
Teyzem,Halit Refig,7.7,1081,"
Drama, Thriller            ",(1986)
Yilanlarin Öcü,Serif Gören,7.6,1047,"
Drama            ",(1985)
Koca Dünya,Reha Erdem,6.8,1043,"
Drama            ",(2016)
Min Dît,Miraz Bezar,7.4,1029,"
Drama            ",(2009)
Degirmen,Atif Yilmaz,7.5,1027,"
Comedy, Drama, History            ",(1986)
Bugday,Semih Kaplanoglu,6.1,1025,"
Drama, SciFi            ",(2017)
Antikaci,Aclan Bates,7.4,1018,"
Drama, Thriller            ",(2015)
Öteki Taraf,Özcan Deniz,6.3,1006,"
Drama, Thriller            ",(2017)
