Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Reyhan,Metin Erksan,5.7,126,"
Drama, Romance            ",(1969)
Evlenmeden Olmaz,Yasemin Türkmenli,3.8,125,"
Comedy, Romance            ",(2015)
Göl,Ömer Kavur,6.5,125,"
Drama, Romance            ",(1982)
Adamini bul,Aram Gülyüz,5.0,122,"
Comedy, Romance            ",(1975)
Vukuat var,Nejat Saydam,6.3,122,"
Romance            ",(1972)
Fistik gibi masallah,Hulki Saner,6.4,122,"
Romance, Comedy            ",(1964)
Kezban,Orhan Aksoy,5.6,119,"
Drama, Romance            ",(1968)
Ask Bu Mu?,Ömer Ugur,4.0,115,"
Comedy, Drama, Romance            ",(2018)
Namus düsmani,Zeki Alasya,5.2,114,"
Comedy, Romance            ",(1986)
Aysecik canimin içi,Hulki Saner,5.1,112,"
Comedy, Family, Romance            ",(1963)
Iki kizgin adam,Ertem Göreç,6.5,111,"
Adventure, Drama, Romance            ",(1976)
Almanyali Yarim,Orhan Aksoy,5.9,111,"
Drama, Romance            ",(1974)
Minik Serçe,Atif Yilmaz,6.2,111,"
Drama, Romance            ",(1978)
Med cezir manzaralari,Mahinur Ergun,6.4,110,"
Adventure, Drama, Romance            ",(1989)
Kaptan,Zeki Alasya,4.3,110,"
Romance            ",(1984)
Hiçkirik,Orhan Aksoy,6.4,109,"
Drama, Romance            ",(1965)
Çöl Kartali,Halit Refig,5.8,108,"
Adventure, History, Romance            ",(1972)
Samanyolu,Orhan Aksoy,6.2,108,"
Romance            ",(1967)
Birlesen yollar,Yücel Çakmakli,6.8,108,"
Romance            ",(1970)
Cici gelin,Nuri Ergün,5.7,107,"
Comedy, Romance            ",(1967)
Affedilmeyen,Türker Inanoglu,5.6,107,"
Drama, Romance            ",(1966)
Mavi esarp,Nejat Saydam,5.1,107,"
Drama, Romance            ",(1971)
Çat Kapi Ask,Erhan Baytimur,4.8,106,"
Comedy, Romance            ",(2019)
Ezo Gelin,Feyzi Tuna,5.8,106,"
Drama, Romance            ",(1973)
Beklenen Sarki,Orhon M. Ariburnu,6.8,105,"
Drama, Romance            ",(1953)
Gramofon avrat,Yusuf Kurçenli,6.8,105,"
Drama, Romance            ",(1987)
Aski ben mi yarattim,Serif Gören,4.8,104,"
Drama, Romance            ",(1979)
Efkarli sosyetede,Türker Inanoglu,5.9,103,"
Comedy, Romance            ",(1968)
Hatasiz Kul Olmaz,Osman F. Seden,4.8,103,"
Drama, Romance            ",(1977)
Ask mabudesi,Nejat Saydam,6.2,103,"
Romance, Drama            ",(1969)
Ferahfeza,Elif Refig,4.7,102,"
Adventure, Family, Romance            ",(2013)
Sen bir meleksin,Nejat Saydam,6.1,101,"
Romance            ",(1969)
Soguktu ve yagmur çiseliyordu,Engin Ayça,7.0,101,"
Drama, Family, Romance            ",(1990)
Gülizar,Hulki Saner,5.8,100,"
Comedy, Musical, Romance            ",(1972)
Daginik yatak,Atif Yilmaz,6.4,97,"
Drama, Romance            ",(1984)
Cemo,Atif Yilmaz,7.1,97,"
Drama, Romance            ",(1972)
Bir teselli ver,Lütfi Akad,4.9,96,"
Drama, Romance            ",(1972)
Isportaci kiz,Türker Inanoglu,6.0,95,"
Comedy, Romance            ",(1970)
Adem ile Havva,Serif Gören,7.3,95,"
Romance            ",(1986)
"Bir Gevrek, Bir Boyoz, Iki de Kumru",Osman Dikiciler,6.3,93,"
Comedy, Drama, Romance            ",(2013)
Derbeder,Temel Gürsu,6.1,92,"
Drama, Romance            ",(1978)
Küçük hanimefendi,Ertem Egilmez,5.5,92,"
Romance            ",(1970)
Küçük baliklar üzerine bir masal,Baris Pirhasan,7.5,92,"
Drama, Romance            ",(1990)
Bülbül yuvasi,Nejat Saydam,5.9,92,"
Drama, Romance            ",(1970)
Fakir gencin romani,Nuri Ergün,7.3,91,"
Drama, Romance            ",(1965)
Küçük hanimin soförü,Nejat Saydam,5.9,91,"
Comedy, Romance            ",(1962)
Yalnizlar rihtimi,Lütfi Akad,6.8,91,"
Drama, Romance            ",(1959)
Bana derler fosforlu,Ertem Göreç,5.7,90,"
Drama, Romance            ",(1969)
Sîyabend û Xecê,Sahin Gök,4.6,90,"
Drama, Romance            ",(1991)
Gizli duygular,Serif Gören,6.4,89,"
Drama, Romance            ",(1984)
Papatya ile karabiber,Ümit Efekan,2.7,89,"
Romance            ",(2004)
Fadime,Türker Inanoglu,6.8,89,"
Romance            ",(1970)
Boyaci,Sirri Gültekin,5.9,88,"
Comedy, Romance            ",(1966)
Soför Nebahat,Metin Erksan,5.9,88,"
Comedy, Drama, Romance            ",(1960)
Cambazhane gülü,Türker Inanoglu,5.9,88,"
Comedy, Romance            ",(1971)
Renkli dünya,Orhan Aksoy,5.8,88,"
Musical, Comedy, Romance            ",(1980)
Severek Ayrilalim,Orhan Aksoy,5.4,88,"
Drama, Romance            ",(1971)
Adini anmayacagim,Orhan Elmas,5.3,86,"
Drama, Romance            ",(1971)
Sarmasik gülleri,Nejat Saydam,6.8,85,"
Drama, Romance            ",(1968)
Ada,Süreyya Duru,6.4,85,"
Romance            ",(1988)
Kadin berberi,Türker Inanoglu,5.9,84,"
Comedy, Romance            ",(1964)
Kirik plak,Osman F. Seden,7.6,84,"
Drama, Romance            ",(1959)
Askin kanunu,Süreyya Duru,6.8,84,"
Drama, Romance            ",(1971)
Siralardaki heyecan,Orhan Aksoy,5.7,84,"
Drama, Romance            ",(1976)
Bebek gibi Masallah,Mehmet Dinler,6.0,84,"
Comedy, Romance, Crime            ",(1971)
Sürtük,Ertem Egilmez,6.6,83,"
Drama, Romance            ",(1965)
Çesme,Temel Gürsu,6.8,82,"
Adventure, Drama, Romance            ",(1977)
