Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Çarikli Milyoner,Kartal Tibet,6.8,2466,"
Comedy, Drama, Romance            ",(1983)
Kanli Nigar,Memduh Ün,7.2,2463,"
Comedy, Drama            ",(1981)
Sag Salim 2: Sil Bastan,Ersoy Güler,5.1,2393,"
Comedy            ",(2014)
Saban Pabucu Yarim,Kartal Tibet,6.6,2344,"
Comedy            ",(1985)
Gerzek Saban,Natuk Baytan,7.2,2342,"
Comedy            ",(1980)
O simdi asker,Mustafa Altioklar,4.8,2328,"
Comedy, Drama            ",(2003)
Iyi Aile Çocugu,Osman F. Seden,7.2,2311,"
Comedy            ",(1978)
Ya Sonra?,Özcan Deniz,5.2,2304,"
Comedy, Drama, Romance            ",(2011)
Kocan Kadar Konus: Dirilis,Kivanç Baruönü,5.9,2302,"
Comedy, Drama, Fantasy            ",(2016)
Bizans oyunlari: Geym of Bizans,Gani Müjde,3.7,2282,"
Comedy            ",(2016)
Oh Olsun,Ertem Egilmez,7.3,2278,"
Comedy, Family, Romance            ",(1973)
Sabit Kanca,Alper Mestçi,3.5,2275,"
Comedy            ",(2013)
Zaman Makinesi 1973,Aram Gülyüz,6.4,2265,"
Comedy, SciFi            ",(2014)
Talih Kusu,Kartal Tibet,7.1,2258,"
Comedy, Drama            ",(1989)
Gurbetçi Saban,Kartal Tibet,6.7,2254,"
Family, Comedy, Drama            ",(1985)
Yozgat Blues,Mahmut Fazil Coskun,6.8,2236,"
Comedy, Drama, Music            ",(2013)
Fasulye,Bora Tekay,7.2,2229,"
Comedy, Crime            ",(2000)
Yok Artik,Caner Özyurtlu,5.7,2211,"
Comedy            ",(2015)
Tatli Dillim,Ertem Egilmez,7.3,2201,"
Comedy, Romance            ",(1972)
Son ders,Iraz Okumus,6.9,2194,"
Comedy, Drama            ",(2008)
Varyemez,Orhan Aksoy,6.7,2185,"
Comedy, Crime, Drama            ",(1991)
Olanlar Oldu,Hakan Algül,6.4,2183,"
Comedy            ",(2017)
Ne Olacak Simdi,Atif Yilmaz,7.6,2174,"
Comedy, Romance            ",(1979)
Niyazi Gül Dörtnala,Hakan Algül,4.5,2172,"
Action, Adventure, Comedy            ",(2015)
En Büyük Saban,Kartal Tibet,6.8,2144,"
Comedy, Drama, Family            ",(1983)
Köseyi Dönen Adam,Atif Yilmaz,7.1,2107,"
Comedy, Drama            ",(1978)
Günah Keçisi,Cenk Ozakinci,5.7,2069,"
Action, Biography, Comedy            ",(2011)
4N1K,Deniz Coskun,6.1,2021,"
Comedy            ",(2017)
Hemso,Ömer Ugur,4.7,2018,"
Comedy, Drama            ",(2001)
Bir Baba Hindu,Sermiyan Midyat,3.1,2017,"
Action, Adventure, Comedy            ",(2016)
Kiraci,Orhan Aksoy,6.8,2001,"
Comedy, Drama            ",(1987)
Kisik Ateste 15 Dakika,Neco Çelik,6.2,1997,"
Comedy, Drama            ",(2006)
Saskin Damat,Zeki Ökten,6.9,1993,"
Comedy            ",(1975)
Çakallarla Dans 3: Sifir Sikinti,Murat Seker,5.1,1985,"
Comedy            ",(2014)
Erkek Güzeli Sefil Bilo,Ertem Egilmez,7.0,1980,"
Comedy, Drama            ",(1979)
Abuzer Kadayif,Tunç Basaran,5.3,1973,"
Musical, Drama, Comedy            ",(2000)
Vay Arkadas,Kemal Uzun,6.4,1965,"
Comedy            ",(2010)
Amerikali,Serif Gören,5.3,1959,"
Comedy            ",(1993)
Koltuk Belasi,Kartal Tibet,7.1,1948,"
Comedy, Drama            ",(1990)
Sen Dul Saban,Kartal Tibet,6.6,1944,"
Comedy            ",(1985)
Deli Ask,Murat Dündar,5.6,1940,"
Comedy, Romance            ",(2017)
Sofra sirlari,Ümit Ünal,6.9,1938,"
Comedy, Drama            ",(2017)
Prensesin Uykusu,Çagan Irmak,6.7,1928,"
Comedy, Drama            ",(2010)
Abimm,Safak Bal,5.9,1904,"
Comedy, Drama            ",(2009)
Vezir Parmagi,Mahsun Kirmizigül,4.0,1898,"
Comedy, Drama, History            ",(2017)
Görümce,Kivanç Baruönü,5.1,1896,"
Comedy, Family, Romance            ",(2016)
Dolap Beygiri,Atif Yilmaz,7.3,1893,"
Comedy, Drama            ",(1982)
Ögretmen,Kartal Tibet,7.2,1886,"
Comedy, Drama            ",(1988)
Salvar Davasi,Kartal Tibet,7.3,1885,"
Comedy            ",(1983)
Esrefpasalilar,Hüdaverdi Yavuz,5.0,1875,"
Comedy, Drama            ",(2010)
Tatlim Tatlim,Yilmaz Erdogan,5.8,1873,"
Comedy, Romance            ",(2017)
Gori vatra,Pjer Zalica,7.3,1867,"
Comedy, Drama            ",(2003)
Sevkat Yerimdar,Bülent Isbilen,5.3,1866,"
Comedy, Romance            ",(2013)
Kurtulus Son Durak,Yusuf Pirhasan,6.2,1864,"
Comedy, Drama            ",(2012)
Mercedes mon amour,Tunç Okan,7.8,1857,"
Action, Comedy, Drama            ",(1993)
Yalanci Yarim,Ertem Egilmez,7.2,1849,"
Comedy, Romance            ",(1973)
Oglum bak git,Kamil Cetin,2.0,1838,"
Comedy            ",(2012)
Yoksul,Zeki Ökten,7.3,1830,"
Comedy, Drama            ",(1986)
Devlet Kusu,Memduh Ün,7.0,1824,"
Comedy, Drama            ",(1980)
Kirpi,Erdal Murat Aktas,5.9,1791,"
Comedy            ",(2009)
Kayhan,Togan Gökbakar,2.0,1781,"
Comedy            ",(2018)
Döngel kârhanesi,Hakan Algül,5.6,1771,"
Comedy            ",(2005)
B.O.K.: Bi O Kalmisti,Burak Babayigit,4.5,1745,"
Comedy, Fantasy            ",(2016)
Inatçi,Kartal Tibet,6.7,1687,"
Comedy            ",(1988)
Delisin,Ergin Orbey,7.0,1681,"
Comedy, Romance            ",(1975)
Turist Ömer,Hulki Saner,7.6,1664,"
Comedy, Drama            ",(1964)
Destere,Ahmet T. Uygun,2.6,1649,"
Comedy, Crime            ",(2008)
Sen Benim HerSeyimsin,Tolga Örnek,6.3,1648,"
Comedy            ",(2016)
Ömerçip,Zeki Alasya,2.6,1641,"
Comedy            ",(2003)
Deliha 2,Gupse Ozay,4.4,1635,"
Comedy            ",(2018)
Ali Baba ve Kirk Haramiler,Nuri Ergün,6.8,1630,"
Comedy, Fantasy            ",(1971)
Aaahh Belinda,Atif Yilmaz,7.7,1625,"
Comedy, Fantasy            ",(1986)
Polizei,Serif Gören,6.7,1608,"
Comedy            ",(1988)
Ask geliyorum demez,Murat Seker,5.2,1581,"
Comedy, Romance            ",(2009)
Otobüs,Tunç Okan,7.6,1571,"
Comedy, Crime, Drama            ",(1975)
Mandira Filozofu Istanbul,Müfit Can Saçinti,5.8,1543,"
Comedy            ",(2015)
Çilgin dersane kampta,Faruk Aksoy,2.0,1525,"
Comedy            ",(2008)
Nereye Bakiyor Bu Adamlar,Osman F. Seden,7.1,1516,"
Comedy            ",(1976)
Çarsi Pazar,Muharrem Gulmez,5.3,1502,"
Comedy            ",(2015)
Yusuf Yusuf,Ersoy Güler,3.6,1493,"
Comedy            ",(2014)
Patlak Sokaklar: Gerzomat,Kerim Barutcu,5.5,1489,"
Comedy            ",(2012)
Kutsal Damacana 3: Dracoola,Korhan Bozkurt,2.4,1476,"
Adventure, Comedy, Fantasy            ",(2011)
Ah Güzel Istanbul,Atif Yilmaz,8.1,1469,"
Comedy, Drama            ",(1966)
Güle Güle,Zeki Ökten,6.8,1457,"
Comedy, Drama, Romance            ",(2000)
Piano Piano Bacaksiz,Tunç Basaran,7.8,1457,"
Comedy, Drama, Family            ",(1991)
Kadri'nin götürdügü yere git,Onur Tan,3.1,1411,"
Comedy, Romance            ",(2009)
Dönerse Senindir,Erol Özlevi,4.8,1407,"
Comedy, Romance            ",(2016)
Ates Böcegi,Osman F. Seden,7.1,1374,"
Comedy            ",(1975)
Plajda,Murat Seker,2.8,1373,"
Comedy            ",(2008)
Yasamak Güzel Sey,Müfit Can Saçinti,7.5,1363,"
Comedy, Drama            ",(2017)
Yapisik Kardesler,Ilker Ayrik,2.2,1359,"
Comedy            ",(2015)
Kafalar Karisik,Yücel Yolcu,3.1,1352,"
Comedy            ",(2018)
Baba Bizi Eversene,Oksal Pekmezoglu,7.4,1326,"
Comedy            ",(1975)
Tarkan,Tunç Basaran,6.6,1308,"
Action, Adventure, Comedy            ",(1969)
Karisik Kaset,Tunç Sahin,5.8,1300,"
Comedy, Drama, Music            ",(2014)
Keriz,Kartal Tibet,6.7,1294,"
Comedy, Romance            ",(1985)
Hedefim Sensin,Kivanç Baruönü,6.4,1281,"
Comedy            ",(2018)
Ada: Zombilerin Dügünü,Murat Emir Eren,5.2,1279,"
Comedy, Horror            ",(2010)
Turist Ömer Yamyamlar Arasinda,Hulki Saner,6.8,1279,"
Adventure, Comedy            ",(1970)
Asik Oldum,Ertem Egilmez,7.0,1277,"
Comedy, Romance            ",(1985)
Sevimli Hirsiz,Kartal Tibet,6.4,1269,"
Comedy            ",(1988)
Amerikalilar Karadeniz'de 2,Kartal Tibet,2.2,1257,"
Comedy            ",(2007)
Sev Kardesim,Ertem Egilmez,6.7,1256,"
Comedy, Romance            ",(1972)
O simdi mahkum,Abdullah Oguz,5.7,1249,"
Comedy, Crime            ",(2005)
Bayrampasa: Ben fazla kalmayacagim,Hamdi Alkan,6.0,1242,"
Comedy, Drama            ",(2007)
Çilgin Dersane 4: Ada,Kamil Cetin,1.6,1215,"
Comedy            ",(2015)
Ilk Ask,Nihat Durak,6.8,1207,"
Comedy, Drama            ",(2006)
Uyanik Gazeteci,Kartal Tibet,6.2,1190,"
Comedy            ",(1988)
Keloglan,Süreyya Duru,6.5,1184,"
Comedy, Fantasy            ",(1971)
Yakisikli,Orhan Aksoy,6.2,1167,"
Comedy            ",(1987)
Turist Ömer Boga Güresçisi,Hulki Saner,6.9,1164,"
Comedy, Romance            ",(1971)
Rüzgar,Serkan Acar,5.8,1147,"
Comedy, Family, Romance            ",(2018)
Mutlu aile defteri,Nihat Durak,6.2,1142,"
Comedy            ",(2013)
Maide'nin Altin Günü,Caner Özyurtlu,3.8,1136,"
Comedy            ",(2017)
Keloglan ile Cankiz,Metin Erksan,6.1,1122,"
Comedy, Drama, Romance            ",(1972)
Ketenpere,Kamil Cetin,4.3,1108,"
Comedy            ",(2017)
Cinar Agaci,Handan Ipekçi,6.2,1086,"
Comedy, Drama, Romance            ",(2011)
Hasip ile Nasip,Atif Yilmaz,6.9,1079,"
Comedy            ",(1976)
Arkadasim Seytan,Atif Yilmaz,7.1,1077,"
Comedy, Fantasy, Musical            ",(1988)
Görevimiz Tatil,Murat Seker,4.8,1076,"
Comedy            ",(2018)
Sabit Kanca 2,Alper Mestçi,3.8,1066,"
Comedy            ",(2014)
Zehir Hafiye,Orhan Aksoy,6.4,1051,"
Adventure, Comedy, Crime            ",(1989)
