Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Komser Sekspir,Sinan Çetin,5.8,2773,"
Comedy, Drama            ",(2000)
Umut,Serif Gören,8.2,2757,"
Drama            ",(1970)
Ibo ile Güllüsah,Atif Yilmaz,6.2,2743,"
Comedy            ",(1977)
Üçüncü Sayfa,Zeki Demirkubuz,7.4,2739,"
Drama            ",(1999)
Sümela'nin Sifresi: Temel,Adem Kiliç,3.8,2737,"
Comedy            ",(2011)
Içimdeki Ses,Cagri Bayrak,6.0,2736,"
Comedy, Drama            ",(2015)
Celal Tan ve Ailesinin Asiri Acikli Hikayesi,Onur Ünlü,6.5,2730,"
Comedy, Crime, Drama            ",(2011)
Umudumuz Saban,Kartal Tibet,7.2,2722,"
Comedy            ",(1979)
Hayat Var,Reha Erdem,7.4,2702,"
Drama            ",(2008)
Aile Serefi,Orhan Aksoy,8.1,2688,"
Drama, Family            ",(1976)
Ask Tutulmasi,Murat Seker,5.6,2682,"
Comedy, Romance            ",(2008)
Kaç Para Kaç,Reha Erdem,7.6,2662,"
Drama            ",(1999)
Küçük Esnaf,Bedran Güzel,5.6,2660,"
Action, Adventure, Comedy            ",(2016)
Tatar Ramazan,Melih Gülgen,8.1,2650,"
Drama, Romance            ",(1990)
Deli Deli Küpeli,Kartal Tibet,7.3,2640,"
Comedy, Drama            ",(1986)
Süt,Semih Kaplanoglu,6.7,2638,"
Drama            ",(2008)
Kolpaçino 3. Devre,Safak Sezer,4.0,2631,"
Comedy            ",(I) (2016)
Kolonya Cumhuriyeti,Murat Kepez,5.9,2622,"
Comedy            ",(2017)
Ask Sana Benzer,A. Taner Elhan,3.8,2620,"
Drama            ",(2015)
Sevimli Tehlikeli,Özcan Deniz,6.2,2619,"
Comedy, Romance            ",(2015)
Ali Kundilli,Bülent Isbilen,5.6,2615,"
Comedy            ",(2015)
Sosyete Saban,Kartal Tibet,7.0,2607,"
Comedy, Drama, Family            ",(1985)
Insan nedir ki?,Reha Erdem,7.6,2587,"
Comedy            ",(2004)
Abluka,Emin Alper,7.3,2580,"
Drama            ",(2015)
Egreti gelin,Atif Yilmaz,6.2,2579,"
Drama            ",(2005)
Nadide Hayat,Çagan Irmak,6.4,2571,"
Comedy            ",(2015)
Dedemin Fisi,Meltem Bozoflu,5.6,2567,"
Comedy, Family            ",(2016)
Ask Filmlerinin Unutulmaz Yönetmeni,Yavuz Turgul,7.8,2550,"
Comedy, Drama            ",(1990)
